metric,value
zero_markdown_baseline_difference,0.22028684327781703
positive_markdown_prediction_difference,0.1817466009732518
average_implied_uplift_difference,-0.0385402423045652
high_stockout_risk_prediction_difference,0.22994962705905655
promotion_period_prediction_difference,0.1680507120871782
share_recovered_stronger_markdown_response,0.3233333333333333
share_higher_baseline_similar_sensitivity,0.575
mean_absolute_demand_prediction_difference,0.2170257695890188
mean_absolute_percentage_uplift_difference,7.663802573653414
preferred_action_changed_share,0.5583333333333333
stockout_bias_transmission_classification,MATERIAL_RESPONSE_CHANGE
