scenario_id,calibration_mode,policy_id,policy_kind,normalized_accounting_profit,raw_accounting_profit,revenue,procurement_cost,disposal_cost,physical_waste_units,waste_rate,sell_through_rate,stockout_rate,average_markdown,terminal_inventory,episode_length,action_entropy,episode_conservation_error,raw_financial_sum_error,normalized_profit_always_zero,waste_rate_always_zero,physical_waste_units_always_zero,sell_through_rate_always_zero,average_markdown_always_zero,normalized_profit_difference,normalized_profit_sacrifice,physical_waste_reduction,waste_rate_reduction,sell_through_change,average_markdown_change
core_002,observed_calibration,always_0pct,fixed_or_rule_policy,0.45000000000000007,0.5565789473684212,1.236842105263158,0.6802631578947369,0.0,0.0,0.0,1.0,0.4583333333333333,0.0,1.3877787807814457e-17,2.5,0.0,4.163336342344337e-17,1.3877787807814457e-17,0.45000000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core_002,observed_calibration,always_10pct,fixed_or_rule_policy,0.3500000000000001,0.4328947368421054,1.1131578947368423,0.6802631578947369,0.0,0.0,0.0,1.0,0.4583333333333333,0.10000000000000002,1.3877787807814457e-17,2.5,0.0,4.163336342344337e-17,0.0,0.45000000000000007,0.0,0.0,1.0,0.0,-0.09999999999999998,0.09999999999999998,0.0,0.0,0.0,0.10000000000000002
core_002,observed_calibration,always_20pct,fixed_or_rule_policy,0.2500000000000001,0.3092105263157896,0.9894736842105265,0.6802631578947369,0.0,0.0,0.0,1.0,0.4583333333333333,0.20000000000000004,1.3877787807814457e-17,2.5,0.0,1.3877787807814457e-17,0.0,0.45000000000000007,0.0,0.0,1.0,0.0,-0.19999999999999996,0.19999999999999996,0.0,0.0,0.0,0.20000000000000004
core_002,observed_calibration,always_40pct,fixed_or_rule_policy,0.05000000000000003,0.061842105263157934,0.7421052631578948,0.6802631578947369,0.0,0.0,0.0,1.0,0.5625,0.4,1.3877787807814457e-17,1.875,0.0,1.3877787807814457e-17,0.0,0.45000000000000007,0.0,0.0,1.0,0.0,-0.4,0.4,0.0,0.0,0.0,0.4
core_002,observed_calibration,always_5pct,fixed_or_rule_policy,0.4,0.4947368421052632,1.175,0.6802631578947369,0.0,0.0,0.0,1.0,0.4583333333333333,0.05000000000000001,1.3877787807814457e-17,2.5,0.0,4.163336342344337e-17,0.0,0.45000000000000007,0.0,0.0,1.0,0.0,-0.050000000000000044,0.050000000000000044,0.0,0.0,0.0,0.05000000000000001
core_002,observed_calibration,expiry_threshold_rule,fixed_or_rule_policy,0.05000000000000003,0.061842105263157934,0.7421052631578948,0.6802631578947369,0.0,0.0,0.0,1.0,0.5625,0.4,1.3877787807814457e-17,1.875,0.0,1.3877787807814457e-17,0.0,0.45000000000000007,0.0,0.0,1.0,0.0,-0.4,0.4,0.0,0.0,0.0,0.4
core_002,observed_calibration,inventory_coverage_rule,fixed_or_rule_policy,0.21473757759276055,0.2655964775489407,0.9458596354436776,0.6802631578947369,0.0,0.0,0.0,1.0,0.5,0.19375,1.3877787807814457e-17,2.25,0.7585531985305137,1.3877787807814457e-17,0.0,0.45000000000000007,0.0,0.0,1.0,0.0,-0.23526242240723952,0.23526242240723952,0.0,0.0,0.0,0.19375
core_002,observed_calibration,selected_observed_financial_ppo,ppo_cross_scenario_financial_policy,0.33937167897018694,0.41974918188417865,1.1000123397789157,0.6802631578947369,0.0,0.0,0.0,1.0,0.4583333333333333,0.12083333333333333,1.3877787807814457e-17,2.5,0.397821355184258,4.163336342344337e-17,0.0,0.45000000000000007,0.0,0.0,1.0,0.0,-0.11062832102981313,0.11062832102981313,0.0,0.0,0.0,0.12083333333333333
core_002,observed_calibration,selected_recovered_financial_ppo,ppo_cross_scenario_financial_policy,0.3947033271306638,0.4881856940826632,1.1684488519774001,0.6802631578947369,0.0,0.0,0.0,1.0,0.4583333333333333,0.06041666666666667,1.3877787807814457e-17,2.5,0.397821355184258,4.163336342344337e-17,0.0,0.45000000000000007,0.0,0.0,1.0,0.0,-0.05529667286933626,0.05529667286933626,0.0,0.0,0.0,0.06041666666666667
core_002,recovered_calibration,always_0pct,fixed_or_rule_policy,0.393781299678444,0.6142415314081398,1.4763373619236781,0.8579199737274122,0.004175856788126282,0.08351713576252562,0.05354161935386282,0.9464583806461372,0.29166666666666663,0.0,0.0,2.75,0.0,3.469446951953614e-17,0.0,0.393781299678444,0.05354161935386282,0.08351713576252562,0.9464583806461372,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core_002,recovered_calibration,always_10pct,fixed_or_rule_policy,0.30899345913850035,0.48198483699280803,1.3432713495200814,0.8579199737274122,0.003366538799861222,0.06733077599722444,0.04316477985421008,0.9568352201457899,0.29166666666666663,0.10000000000000002,0.0,2.75,0.0,2.7755575615628914e-17,0.0,0.393781299678444,0.05354161935386282,0.08351713576252562,0.9464583806461372,0.0,-0.08478784053994365,0.08478784053994365,0.01618635976530118,0.010376839499652742,0.010376839499652735,0.10000000000000002
core_002,recovered_calibration,always_20pct,fixed_or_rule_policy,0.2475615810029514,0.3861600455817612,1.2443037592409258,0.8579199737274122,0.000223739931752337,0.0044747986350467395,0.002868728231821873,0.9971312717681782,0.41666666666666663,0.20000000000000004,0.0,2.75,0.0,0.0,0.0,0.393781299678444,0.05354161935386282,0.08351713576252562,0.9464583806461372,0.0,-0.1462197186754926,0.1462197186754926,0.07904233712747888,0.050672891122040944,0.050672891122040986,0.20000000000000004
core_002,recovered_calibration,always_40pct,fixed_or_rule_policy,0.04999999999999991,0.07799272488431006,0.9359126986117223,0.8579199737274122,0.0,0.0,0.0,1.0,0.5625,0.4,0.0,1.875,0.0,0.0,0.0,0.393781299678444,0.05354161935386282,0.08351713576252562,0.9464583806461372,0.0,-0.34378129967844406,0.34378129967844406,0.08351713576252562,0.05354161935386282,0.05354161935386281,0.4
core_002,recovered_calibration,always_5pct,fixed_or_rule_policy,0.36961738589708654,0.5765493418145877,1.4368389384049947,0.8579199737274122,0.002369622862994684,0.04739245725989368,0.030382614102913354,0.9696173858970867,0.35416666666666663,0.05000000000000001,0.0,2.625,0.0,3.469446951953614e-17,0.0,0.393781299678444,0.05354161935386282,0.08351713576252562,0.9464583806461372,0.0,-0.02416391378135746,0.02416391378135746,0.036124678502631936,0.023159005250949466,0.023159005250949494,0.05000000000000001
core_002,recovered_calibration,expiry_threshold_rule,fixed_or_rule_policy,0.04999999999999991,0.07799272488431006,0.9359126986117223,0.8579199737274122,0.0,0.0,0.0,1.0,0.5625,0.4,0.0,1.875,0.0,0.0,0.0,0.393781299678444,0.05354161935386282,0.08351713576252562,0.9464583806461372,0.0,-0.34378129967844406,0.34378129967844406,0.08351713576252562,0.05354161935386282,0.05354161935386281,0.4
core_002,recovered_calibration,inventory_coverage_rule,fixed_or_rule_policy,0.19865820350921898,0.3098778922461164,1.1677978659735286,0.8579199737274122,0.0,0.0,0.0,1.0,0.4375,0.20208333333333334,0.0,2.625,0.6217912888377648,0.0,0.0,0.393781299678444,0.05354161935386282,0.08351713576252562,0.9464583806461372,0.0,-0.19512309616922502,0.19512309616922502,0.08351713576252562,0.05354161935386282,0.05354161935386281,0.20208333333333334
core_002,recovered_calibration,selected_observed_financial_ppo,ppo_cross_scenario_financial_policy,0.283833607402016,0.4427391291005349,1.3020698712402097,0.8579199737274122,0.0014107684122625934,0.028215368245251865,0.0180884616399189,0.9819115383600812,0.375,0.15,0.0,2.75,0.5569498972579612,4.163336342344337e-17,0.0,0.393781299678444,0.05354161935386282,0.08351713576252562,0.9464583806461372,0.0,-0.10994769227642798,0.10994769227642798,0.05530176751727375,0.03545315771394392,0.03545315771394397,0.15
core_002,recovered_calibration,selected_recovered_financial_ppo,ppo_cross_scenario_financial_policy,0.30489401166821106,0.47559029541824893,1.3355472153321475,0.8579199737274122,0.002036946186486191,0.04073892372972382,0.02611713066196465,0.9738828693380354,0.4375,0.13020833333333334,0.0,2.625,0.8528403490244132,2.7755575615628914e-17,0.0,0.393781299678444,0.05354161935386282,0.08351713576252562,0.9464583806461372,0.0,-0.08888728801023293,0.08888728801023293,0.0427782120328018,0.02742448869189817,0.027424488691898175,0.13020833333333334
