policy_id,evaluation_status,baseline_hierarchy,mean_normalized_profit,paired_gain_vs_always_0pct,paired_gain_vs_random_uniform,paired_gain_vs_always_10pct,median_paired_gain_vs_always_0pct,bootstrap_ci_low_vs_always_0pct,bootstrap_ci_high_vs_always_0pct,win_share_vs_always_0pct,tie_share_vs_always_0pct,loss_share_vs_always_0pct,waste_rate,sell_through,average_markdown,worst_decile_gain_vs_always_0pct,maximum_episode_loss_vs_always_0pct,action_entropy,state_dependence,accounting_validity,episode_count,action_0_share,action_1_share,action_2_share,action_3_share,action_4_share,action_5_share,profit_waste_pareto_frontier,primary_conclusion_preserved,analysis_type,runtime_seconds
always_0pct,EVALUATED,STRONG_NO_MARKDOWN,0.4479993306199982,0.0,0.20767722682005163,0.09926707673553888,0.0,0.0,0.0,0.0,1.0,0.0,0.0019053994095255544,0.9980946005904745,0.0,0.0,0.0,-0.0,NOT_STATE_DEPENDENT,True,60,1.0,0.0,0.0,0.0,0.0,0.0,True,True,post_hoc_secondary_descriptive,394.020173900004
always_5pct,EVALUATED,FIXED_MARKDOWN,0.3985579803893202,-0.04944135023067785,0.15823587658937377,0.04982572650486105,-0.050000000000000044,-0.050000000000000065,-0.04849462971030326,0.0,0.0,1.0,0.001442019610679629,0.9985579803893203,0.04999999999999998,-0.0500000000000001,-0.0500000000000001,-0.0,NOT_STATE_DEPENDENT,True,60,0.0,1.0,0.0,0.0,0.0,0.0,True,True,post_hoc_secondary_descriptive,394.020173900004
always_10pct,EVALUATED,FIXED_MARKDOWN,0.34873225388445933,-0.09926707673553888,0.10841015008451273,0.0,-0.09999999999999998,-0.09999999999999996,-0.09797914653220384,0.0,0.0,1.0,0.0013344695953060553,0.9986655304046939,0.09999999999999996,-0.10000000000000005,-0.10000000000000003,-0.0,NOT_STATE_DEPENDENT,True,60,0.0,0.0,1.0,0.0,0.0,0.0,True,True,post_hoc_secondary_descriptive,394.020173900004
always_20pct,EVALUATED,FIXED_MARKDOWN,0.25,-0.1979993306199981,0.009677896200053477,-0.09873225388445922,-0.19999999999999996,-0.19999999999999993,-0.19417590818558156,0.0,0.0,1.0,0.0,1.0,0.19999999999999993,-0.19999999999999998,-0.20000000000000004,-0.0,NOT_STATE_DEPENDENT,True,60,0.0,0.0,0.0,1.0,0.0,0.0,True,True,post_hoc_secondary_descriptive,394.020173900004
always_30pct,EVALUATED,FIXED_MARKDOWN,0.14999999999999994,-0.2979993306199983,-0.09032210379994661,-0.1987322538844593,-0.30000000000000004,-0.3000000000000001,-0.29417590818558176,0.0,0.0,1.0,0.0,1.0,0.30000000000000004,-0.3000000000000001,-0.30000000000000016,-0.0,NOT_STATE_DEPENDENT,True,60,0.0,0.0,0.0,0.0,1.0,0.0,False,True,post_hoc_secondary_descriptive,394.020173900004
always_40pct,EVALUATED,FIXED_MARKDOWN,0.04999999999999993,-0.3979993306199981,-0.19032210379994657,-0.29873225388445934,-0.4,-0.39999999999999986,-0.3941759081855815,0.0,0.0,1.0,0.0,1.0,0.39999999999999986,-0.4000000000000001,-0.4000000000000001,-0.0,NOT_STATE_DEPENDENT,True,60,0.0,0.0,0.0,0.0,0.0,1.0,False,True,post_hoc_secondary_descriptive,394.020173900004
random_uniform,EVALUATED,NAIVE,0.2403221037999465,-0.20767722682005163,0.0,-0.10841015008451273,-0.2015212525854247,-0.23118790222586372,-0.18488203249202692,0.0,0.016666666666666666,0.9833333333333333,0.0006096504579754321,0.9993903495420245,0.1998611111111111,-0.359619420450173,-0.378337930659807,1.7522511821161633,STATE_DEPENDENT,True,60,0.1597222222222222,0.1597222222222222,0.09027777777777778,0.16666666666666666,0.25,0.1736111111111111,False,True,post_hoc_secondary_descriptive,394.020173900004
expiry_rule_10pct,EVALUATED,RULE_BASED,0.34873225388445933,-0.09926707673553888,0.10841015008451273,0.0,-0.09999999999999998,-0.09999999999999996,-0.09797914653220384,0.0,0.0,1.0,0.0013344695953060553,0.9986655304046939,0.09999999999999996,-0.10000000000000005,-0.10000000000000003,-0.0,NOT_STATE_DEPENDENT,True,60,0.0,0.0,1.0,0.0,0.0,0.0,True,True,post_hoc_secondary_descriptive,394.020173900004
inventory_coverage_rule_10pct,EVALUATED,RULE_BASED,0.39262048044333986,-0.055378850176658265,0.15229837664339332,0.043888226558880625,-0.047332956799129855,-0.05899558369537835,-0.05186706622325961,0.0,0.0,1.0,0.0014889098673783634,0.9985110901326216,0.045277777777777764,-0.08426529140853935,-0.09532948469205232,0.6875621446408827,STATE_DEPENDENT,True,60,0.5527950310559007,0.0,0.4472049689440994,0.0,0.0,0.0,False,True,post_hoc_secondary_descriptive,394.020173900004
original_observed_ppo,EVALUATED,LEARNED_POLICY,0.30787219328701776,-0.1401271373329805,0.06755008948707113,-0.04086006059744158,-0.1552784591637758,-0.14642395759220253,-0.1336489412939204,0.0,0.0,1.0,0.00040508929911311603,0.9995949107008869,0.14805555555555552,-0.16344400618303037,-0.16504786893897255,0.6924438906722563,STATE_DEPENDENT,True,60,0.0,0.0,0.48125,0.51875,0.0,0.0,True,True,post_hoc_secondary_descriptive,394.020173900004
